question,correct_answer,subject,level
What is 7 multiplied by 8?,56,Math,Primary 5
How many sides does a triangle have?,3|three,Math,Primary 3
What is the capital of Ghana?,Accra,Social Studies,Primary 4
What is 15 divided by 3?,5|five,Math,Primary 4
What do plants need to make their own food?,sunlight|water|carbon dioxide|photosynthesis,Science,JHS 1
Name the largest ocean in the world.,Pacific|Pacific Ocean,Social Studies,JHS 1
What is the past tense of the word run?,ran,English,Primary 6
How many days are in a week?,7|seven,Math,Primary 2
What continent is Ghana located in?,Africa,Social Studies,Primary 5
What is the boiling point of water in degrees Celsius?,100|one hundred,Science,JHS 1
What is 12 plus 9?,21|twenty one|twenty-one,Math,Primary 3
Name the river that flows through Ghana.,Volta|Volta River,Social Studies,Primary 5
What gas do humans breathe in?,oxygen,Science,Primary 6
What is the plural of child?,children,English,Primary 4
How many months are in a year?,12|twelve,Math,Primary 2
Who was the first president of Ghana?,Kwame Nkrumah|Nkrumah,Social Studies,JHS 1
What is the square root of 49?,7|seven,Math,JHS 1
What is the opposite of hot?,cold,English,Primary 3
What is the currency of Ghana?,cedi|Ghana cedi|cedis,Social Studies,Primary 5
Name one primary colour.,red|blue|yellow,Art,Primary 2
What is 9 multiplied by 9?,81|eighty one|eighty-one,Math,Primary 6
What organ pumps blood around the body?,heart,Science,Primary 6
What is the meaning of the word ancient?,very old|old,English,JHS 1
How many continents are there in the world?,7|seven,Social Studies,Primary 4
What is the chemical symbol for water?,H2O,Science,JHS 1
What is the longest river in the world?,Nile|Nile River,Social Studies,JHS 2
Name the process by which plants make food.,photosynthesis,Science,JHS 1
What is 100 minus 37?,63|sixty three|sixty-three,Math,Primary 6
What is the national language of Ghana?,English,Social Studies,Primary 4
Name one sense organ.,eye|ear|nose|tongue|skin,Science,Primary 3
